time up,time down,CALLNO,CALLNA
01:18:00 AM,12:38:00 PM,86-(653)734-1243,86-(538)811-2437
03:52:00 AM,11:37:00 AM,55-(759)403-9411,27-(481)740-1020
09:20:00 PM,08:24:00 PM,62-(492)756-6386,62-(881)551-3061
07:42:00 PM,06:49:00 PM,86-(538)811-2437,63-(902)128-5291
07:21:00 AM,08:52:00 AM,86-(528)328-9814,7-(560)154-8499
08:43:00 AM,10:56:00 PM,970-(609)783-1634,420-(719)613-5431
06:50:00 AM,06:51:00 PM,62-(881)551-3061,86-(708)132-4111
02:49:00 AM,07:46:00 PM,970-(609)783-1634,380-(783)261-0523
11:15:00 PM,08:10:00 PM,81-(467)317-9186,1-(316)548-0363
05:27:00 PM,02:12:00 PM,63-(882)238-0146,967-(185)103-3989
10:36:00 PM,08:46:00 AM,86-(312)453-9766,380-(783)261-0523
12:24:00 PM,09:19:00 PM,970-(609)783-1634,62-(881)551-3061
08:41:00 PM,10:14:00 PM,86-(312)453-9766,230-(266)713-4680
10:21:00 PM,01:17:00 AM,33-(179)353-9854,57-(773)432-9381
11:49:00 AM,11:34:00 AM,51-(242)102-7155,62-(881)551-3061
09:04:00 AM,12:55:00 AM,63-(684)914-2419,63-(902)128-5291
12:15:00 AM,05:38:00 AM,20-(748)196-0192,55-(759)403-9411
08:41:00 PM,05:27:00 PM,355-(677)204-0858,86-(274)383-1187
08:01:00 PM,04:23:00 AM,30-(128)960-9546,86-(325)865-1819
08:46:00 PM,04:34:00 AM,62-(215)967-8927,30-(128)960-9546
11:00:00 AM,05:18:00 PM,20-(748)196-0192,52-(424)879-3646
07:55:00 AM,12:02:00 AM,46-(540)136-1186,62-(937)783-3621
01:17:00 PM,02:07:00 AM,33-(661)609-2593,86-(576)706-1084
08:41:00 PM,09:10:00 PM,355-(677)204-0858,960-(403)633-2929
01:34:00 AM,06:25:00 PM,62-(215)967-8927,420-(719)613-5431
12:50:00 AM,12:42:00 PM,86-(325)865-1819,86-(179)590-3466
04:54:00 PM,11:57:00 AM,62-(141)538-0904,86-(576)706-1084
07:17:00 AM,08:44:00 AM,353-(854)538-8546,62-(881)551-3061
08:11:00 PM,12:30:00 PM,86-(758)361-4593,20-(748)196-0192
08:54:00 AM,10:41:00 PM,63-(902)128-5291,63-(882)238-0146
11:23:00 AM,01:43:00 AM,46-(540)136-1186,86-(758)361-4593
05:46:00 PM,01:48:00 AM,30-(128)960-9546,86-(758)361-4593
07:15:00 AM,09:44:00 PM,52-(424)879-3646,33-(661)609-2593
03:41:00 AM,07:43:00 PM,7-(584)705-9509,86-(529)550-3977
08:35:00 PM,07:26:00 PM,381-(942)278-5050,7-(584)705-9509
08:37:00 PM,01:04:00 PM,86-(538)811-2437,82-(737)676-2558
04:18:00 PM,08:21:00 PM,86-(125)197-9729,30-(128)960-9546
04:28:00 PM,10:50:00 PM,63-(888)410-2602,1-(316)548-0363
08:21:00 PM,09:28:00 AM,62-(506)406-2527,967-(185)103-3989
11:36:00 AM,07:26:00 AM,380-(783)261-0523,420-(719)613-5431
12:00:00 AM,10:35:00 PM,1-(916)790-7871,82-(737)676-2558
12:58:00 AM,09:32:00 PM,86-(312)453-9766,86-(265)673-6852
08:18:00 AM,09:08:00 AM,46-(540)136-1186,62-(492)756-6386
07:43:00 PM,10:49:00 PM,62-(141)538-0904,1-(316)548-0363
03:51:00 AM,11:47:00 PM,51-(242)102-7155,86-(708)132-4111
07:58:00 PM,05:04:00 PM,86-(529)550-3977,52-(424)879-3646
07:08:00 AM,09:06:00 PM,63-(888)410-2602,46-(540)136-1186
07:57:00 AM,02:36:00 AM,229-(345)782-6003,86-(538)811-2437
08:45:00 AM,11:59:00 AM,86-(528)328-9814,55-(175)605-7825
12:23:00 AM,01:49:00 AM,27-(481)740-1020,229-(345)782-6003
08:06:00 PM,02:12:00 AM,63-(888)410-2602,86-(325)865-1819
01:07:00 PM,11:53:00 PM,81-(467)317-9186,353-(854)538-8546
02:57:00 PM,11:34:00 PM,86-(736)974-7120,229-(345)782-6003
11:55:00 AM,01:17:00 PM,57-(773)432-9381,46-(540)136-1186
08:44:00 PM,10:24:00 PM,355-(677)204-0858,86-(529)550-3977
07:13:00 AM,01:04:00 PM,82-(737)676-2558,86-(125)197-9729
08:30:00 PM,01:28:00 AM,55-(759)403-9411,30-(128)960-9546
12:48:00 PM,12:50:00 AM,967-(185)103-3989,7-(247)790-5056
01:06:00 AM,10:21:00 PM,86-(576)706-1084,86-(179)590-3466
04:27:00 PM,02:27:00 AM,62-(506)406-2527,86-(576)706-1084
09:40:00 AM,10:07:00 AM,86-(125)197-9729,1-(916)790-7871
09:35:00 PM,06:04:00 AM,7-(584)705-9509,46-(540)136-1186
01:32:00 AM,09:56:00 PM,48-(469)240-7371,86-(538)811-2437
06:04:00 AM,08:25:00 AM,380-(783)261-0523,62-(506)406-2527
07:19:00 PM,09:37:00 AM,230-(266)713-4680,7-(584)705-9509
01:31:00 AM,07:05:00 PM,52-(424)879-3646,63-(888)410-2602
07:01:00 AM,06:02:00 AM,86-(576)706-1084,86-(179)590-3466
02:12:00 PM,12:09:00 AM,51-(242)102-7155,82-(737)676-2558
03:15:00 PM,10:56:00 PM,62-(937)783-3621,7-(247)790-5056
11:10:00 PM,09:41:00 PM,355-(677)204-0858,229-(345)782-6003
10:58:00 PM,07:10:00 AM,86-(179)590-3466,1-(916)790-7871
10:45:00 AM,01:54:00 PM,86-(312)453-9766,63-(902)128-5291
02:29:00 PM,02:24:00 AM,355-(677)204-0858,86-(274)383-1187
01:52:00 AM,06:09:00 PM,57-(773)432-9381,86-(325)865-1819
08:12:00 AM,06:01:00 PM,62-(881)551-3061,960-(403)633-2929
06:54:00 PM,01:51:00 AM,55-(175)605-7825,960-(403)633-2929
